 variables= "t"  "u"
0.135734    0.194216
0.174515    0.427047
0.193906    0.621048
0.213296    0.827980
0.252078    1.022017
0.271468    1.241881
0.290859    1.435882
0.407202    1.578338
0.562327    1.423453
0.659280    1.307252
0.775623    1.475571
0.891967    1.630958
1.027701    1.476036
1.144044    1.346941
1.279778    1.567019
1.415512    1.735373
1.551247    1.541659
1.648199    1.399596
1.764543    1.606708
1.900277    1.800924
2.055402    1.594314
2.152355    1.439321
2.268698    1.646432
2.404432    1.840649
2.559557    1.634039
2.656510    1.466114
2.772853    1.673226
2.908587    1.880373
3.044321    1.673727
3.160665    1.479977
3.277008    1.725881
3.393352    1.907131
3.548476    1.700521
3.664820    1.506770
3.761773    1.752639
3.897507    1.920993
4.052632    1.701452
4.149584    1.520597
4.265928    1.727708
4.421053    1.921960
4.537396    1.715278
4.673130    1.508633
4.770083    1.754501
4.905817    1.935787
5.060942    1.690384
5.157895    1.522459
5.274238    1.755433
5.390582    1.949613
5.545706    1.704210
5.662050    1.523390
5.778393    1.756364
5.894737    1.950544
6.049861    1.705141
6.166205    1.524322
6.282548    1.757295
6.418283    1.938581
6.573407    1.706109
6.670360    1.525253
6.786704    1.758227
6.903047    1.939476
