 variables= "t"  "u"
6.425703e-2    3.012048e-2
2.248996e-1    6.626506e-2
3.534137e-1    3.012048e-2
5.140562e-1    1.024096e-1
5.461847e-1    2.108434e-1
7.068273e-1    3.253012e-1
8.674699e-1    2.891566e-1
9.317269e-1    3.734940e-1
1.028112e+0    4.698795e-1
1.092369e+0    5.722892e-1
1.220884e+0    6.506024e-1
1.381526e+0    5.783133e-1
1.638554e+0    6.506024e-1
1.863454e+0    5.722892e-1
1.991968e+0    6.385542e-1
2.152610e+0    7.108434e-1
2.281124e+0    6.566265e-1
2.409639e+0    6.144578e-1
2.634538e+0    6.867470e-1
2.859438e+0    6.144578e-1
2.987952e+0    6.746988e-1
3.148594e+0    7.349398e-1
3.405622e+0    6.385542e-1
3.662651e+0    7.108434e-1
3.855422e+0    6.385542e-1
3.983936e+0    6.987952e-1
4.144578e+0    7.530120e-1
4.401606e+0    6.566265e-1
4.658635e+0    7.228916e-1
4.851406e+0    6.566265e-1
4.979920e+0    7.108434e-1
5.140562e+0    7.650602e-1
5.429719e+0    6.626506e-1
5.654618e+0    7.349398e-1
5.847390e+0    6.626506e-1
6.008032e+0    7.228916e-1
6.136546e+0    7.650602e-1
6.425703e+0    6.626506e-1
6.650602e+0    7.349398e-1
6.875502e+0    6.626506e-1
7.164659e+0    7.650602e-1
7.421687e+0    6.626506e-1
7.678715e+0    7.349398e-1
7.871486e+0    6.626506e-1
