Frame3D : point number, element number, material number
   41    40     1
END
   41                      X                      Y                      Z                  Lspan                  Rspan
    1   0.000000000000000000   0.000000000000000000   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
    2   0.000000000000000000   0.025000000000000001   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
    3   0.000000000000000000   0.050000000000000003   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
    4   0.000000000000000000   0.075000000000000011   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
    5   0.000000000000000000   0.100000000000000006   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
    6   0.000000000000000000   0.125000000000000000   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
    7   0.000000000000000000   0.150000000000000022   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
    8   0.000000000000000000   0.175000000000000017   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
    9   0.000000000000000000   0.200000000000000011   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
   10   0.000000000000000000   0.225000000000000006   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
   11   0.000000000000000000   0.250000000000000000   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
   12   0.000000000000000000   0.275000000000000022   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
   13   0.000000000000000000   0.300000000000000044   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
   14   0.000000000000000000   0.325000000000000011   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
   15   0.000000000000000000   0.350000000000000033   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
   16   0.000000000000000000   0.375000000000000000   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
   17   0.000000000000000000   0.400000000000000022   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
   18   0.000000000000000000   0.425000000000000044   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
   19   0.000000000000000000   0.450000000000000011   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
   20   0.000000000000000000   0.475000000000000033   0.000000000000000000   0.000000000000000000   10.00000000000000000  0. 0. 1.
