 variables= "t"  "u"
0.161850    0.226358
0.182081    0.452987
0.202312    0.719615
0.242775    0.999538
0.283237    1.266127
0.424855    1.585857
0.546243    1.425626
0.647399    1.318767
0.789017    1.478497
0.890173    1.611638
1.011561    1.478073
1.132948    1.357842
1.274566    1.570906
1.395954    1.797341
1.557803    1.623699
1.658960    1.463507
1.800578    1.703237
1.841040    1.929827
1.962428    2.076262
2.063584    1.849403
2.144509    1.569249
2.245665    1.835723
2.286127    2.115645
2.326590    2.355568
2.387283    2.555453
2.488439    2.288593
2.528902    2.048516
2.609827    1.848362
2.670520    2.088247
2.731214    2.368131
2.832370    2.594605
2.933526    2.287746
2.994220    2.007630
3.075145    1.887476
3.216763    2.060539
3.439306    1.740116
3.520231    1.579961
3.803468    1.579422
4.046243    1.258960
4.127168    1.525472
4.329480    1.778420
4.471098    1.564817
4.552023    1.417996
4.673410    1.684432
4.774566    1.910906
4.936416    1.683931
5.098266    1.483622
5.158960    1.763507
5.300578    1.949904
5.482659    1.722890
5.563584    1.522736
5.664740    1.762543
5.786127    1.935645
5.968208    1.708632
6.069364    1.481773
6.170520    1.721580
6.291908    1.908015
6.473988    1.667669
6.554913    1.507514
6.676301    1.733950
6.797688    1.907052
