 variables= "t"  "u"
0.129330    0.074733
0.161663    0.277580
0.177829    0.459075
0.193995    0.683274
0.226328    0.886121
0.258661    1.099644
0.274827    1.259786
0.323326    1.462633
0.420323    1.569395
0.533487    1.441281
0.678984    1.313167
0.759815    1.473310
0.905312    1.612100
1.018476    1.473310
1.147806    1.345196
1.244804    1.516014
1.406467    1.729537
1.535797    1.590747
1.648961    1.387900
1.762125    1.601423
1.907621    1.804270
2.036952    1.612100
2.166282    1.441281
2.263279    1.633452
2.408776    1.846975
2.554273    1.665480
2.667436    1.451957
2.780600    1.665480
2.909931    1.879004
3.055427    1.686833
3.184758    1.483986
3.297921    1.718861
3.427252    1.911032
3.556582    1.708185
3.685912    1.494662
3.782910    1.718861
3.912240    1.921708
4.057737    1.729537
4.170901    1.505338
4.284065    1.718861
4.429561    1.921708
4.575058    1.708185
4.672055    1.505338
4.785219    1.718861
4.914550    1.943060
5.076212    1.718861
5.189376    1.505338
5.302540    1.740214
5.431871    1.943060
5.561201    1.729537
5.674365    1.516014
5.787529    1.740214
5.916859    1.943060
6.046189    1.740214
6.191686    1.494662
6.272517    1.729537
6.401848    1.943060
6.547344    1.740214
6.676674    1.505338
6.789838    1.729537
6.919169    1.932384
